z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
0.0086033854364915285,1.8361960468305631,0,0,0,0.02,0.02,0.02,0
0.026181209219389268,2.266313648387376,0,0,0,0.02,0.02,0.02,0
0.044515161203640498,2.4334017430367121,0,0,0,0.02,0.02,0.02,0
0.063633632790824346,2.5443046639058955,0,0,0,0.02,0.02,0.02,0
0.083565699424673068,2.6285065193071318,0,0,0,0.02,0.02,0.02,0
0.10434109994131154,2.6969808705110347,0,0,0,0.02,0.02,0.02,0
0.12599021138230332,2.7550647459407989,0,0,0,0.02,0.02,0.02,0
0.14854401891089936,2.8057655758261948,0,0,0,0.02,0.02,0.02,0
0.17203408046294943,2.8509475546284593,0,0,0,0.02,0.02,0.02,0
0.19649248575728867,2.8918466811806653,0,0,0,0.02,0.02,0.02,0
0.22195180928649344,2.9293246667998876,0,0,0,0.02,0.02,0.02,0
0.24844505690820246,2.9640061596180498,0,0,0,0.02,0.02,0.02,0
0.27600560566023197,2.9963582837018499,0,0,0,0.02,0.02,0.02,0
0.30466713643002402,3.0267393617934113,0,0,0,0.02,0.02,0.02,0
0.33446355912114129,3.0554301299621791,0,0,0,0.02,0.02,0.02,0
0.36542892997715098,3.0826544929079889,0,0,0,0.02,0.02,0.02,0
0.39759736074693813,3.1085937640708052,0,0,0,0.02,0.02,0.02,0
0.43100291940588048,3.1333967012001409,0,0,0,0.02,0.02,0.02,0
0.46567952218501246,3.1571867448967916,0,0,0,0.02,0.02,0.02,0
0.50166081670588403,3.1800673467717546,0,0,0,0.02,0.02,0.02,0
0.5389800560728657,3.2021259623183504,0,0,0,0.02,0.02,0.02,0
0.57766996383763014,3.2234370912218249,0,0,0,0.02,0.02,0.02,0
0.6177625898229121,3.2440646256729777,0,0,0,0.02,0.02,0.02,0
0.65928915687472223,3.2640636877270723,0,0,0,0.02,0.02,0.02,0
0.70227989870417373,3.283482083812066,0,0,0,0.02,0.02,0.02,0
0.74676388908204006,3.3023614685402127,0,0,0,0.02,0.02,0.02,0
0.79276886276096681,3.3207382851159579,0,0,0,0.02,0.02,0.02,0
0.84032102862159697,3.3386445321551741,0,0,0,0.02,0.02,0.02,0
0.88944487566917063,3.3561083942561289,0,0,0,0.02,0.02,0.02,0
0.94016297264560733,3.3731547646367952,0,0,0,0.02,0.02,0.02,0
0.99249576216758961,3.3898056815360924,0,0,0,0.02,0.02,0.02,0
1.0464613504522999,3.4060806951717213,0,0,0,0.02,0.02,0.02,0
1.1020752938475264,3.4219971783677048,0,0,0,0.02,0.02,0.02,0
1.1593503835397527,3.4375705911790919,0,0,0,0.02,0.02,0.02,0
1.218296429970219,3.4528147077108677,0,0,0,0.02,0.02,0.02,0
1.2789200486420329,3.46774181168366,0,0,0,0.02,0.02,0.02,0
1.3412244491482253,3.4823628660206647,0,0,0,0.02,0.02,0.02,0
1.4052092293878558,3.496687660726475,0,0,0,0.02,0.02,0.02,0
1.4708701770613519,3.5107249425361191,0,0,0,0.02,0.02,0.02,0
1.5381990806435022,3.5244825291819386,0,0,0,0.02,0.02,0.02,0
1.6071835521190967,3.5379674106200127,0,0,0,0.02,0.02,0.02,0
1.6778068638282995,3.5511858391505435,0,0,0,0.02,0.02,0.02,0
1.7500478018026882,3.5641434100355136,0,0,0,0.02,0.02,0.02,0
1.8238805379749863,3.5768451339469665,0,0,0,0.02,0.02,0.02,0
1.8992745236125681,3.5892955023573863,0,0,0,0.02,0.02,0.02,0
1.976194406254101,3.6014985468011527,0,0,0,0.02,0.02,0.02,0
2.0545999723179493,3.6134578927838827,0,0,0,0.02,0.02,0.02,0
2.1344461173987002,3.6251768089902181,0,0,0,0.02,0.02,0.02,0
2.2156828460736744,3.6366582523363005,0,0,0,0.02,0.02,0.02,0
2.2982553028048125,3.6479049093222096,0,0,0,0.02,0.02,0.02,0
2.38210383524402,3.6589192340685628,0,0,0,0.02,0.02,0.02,0
2.4671640909343404,3.6697034833557796,0,0,0,0.02,0.02,0.02,0
2.5533671480484719,3.6802597489344864,0,0,0,0.02,0.02,0.02,0
2.6406396804247358,3.6905899873294161,0,0,0,0.02,0.02,0.02,0
2.7289041567541439,3.7006960473233192,0,0,0,0.02,0.02,0.02,0
2.8180790733472625,3.7105796952758725,0,0,0,0.02,0.02,0.02,0
2.908079219473473,3.7202426384070639,0,0,0,0.02,0.02,0.02,0
2.998815973826102,3.7296865461533106,0,0,0,0.02,0.02,0.02,0
3.0901976302333329,3.7389130696882669,0,0,0,0.02,0.02,0.02,0
3.1821297503156236,3.7479238596853728,0,0,0,0.02,0.02,0.02,0
3.2745155403945554,3.7567205823901233,0,0,0,0.02,0.02,0.02,0
3.3672562495941989,3.7653049340612563,0,0,0,0.02,0.02,0.02,0
3.4602515857525029,3.7736786538350682,0,0,0,0.02,0.02,0.02,0
3.5534001454842952,3.7818435350630715,0,0,0,0.02,0.02,0.02,0
