z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
0.056250000000000001,2.4132980823715995,0,0,0,0.02,0.02,0.02,0
0.16875000000000001,2.8393802526007019,0,0,0,0.02,0.02,0.02,0
0.28125,3.0002023052010216,0,0,0,0.02,0.02,0.02,0
0.39374999999999999,3.1046403702294847,0,0,0,0.02,0.02,0.02,0
0.50624999999999998,3.1822998059190235,0,0,0,0.02,0.02,0.02,0
0.61875000000000002,3.2441869747121248,0,0,0,0.02,0.02,0.02,0
0.73125000000000007,3.2956523578450385,0,0,0,0.02,0.02,0.02,0
0.84375,3.3397105528430346,0,0,0,0.02,0.02,0.02,0
0.95625000000000004,3.3782303979735073,0,0,0,0.02,0.02,0.02,0
1.0687500000000001,3.4124513840936395,0,0,0,0.02,0.02,0.02,0
1.1812500000000001,3.4432381473532825,0,0,0,0.02,0.02,0.02,0
1.29375,3.4712179723000673,0,0,0,0.02,0.02,0.02,0
1.40625,3.4968604757871913,0,0,0,0.02,0.02,0.02,0
1.51875,3.5205264101319957,0,0,0,0.02,0.02,0.02,0
1.6312500000000001,3.5424989248963943,0,0,0,0.02,0.02,0.02,0
1.7437500000000001,3.5630043510187654,0,0,0,0.02,0.02,0.02,0
1.85625,3.5822264591517743,0,0,0,0.02,0.02,0.02,0
1.96875,3.6003165070243459,0,0,0,0.02,0.02,0.02,0
2.0812500000000003,3.6174004856950122,0,0,0,0.02,0.02,0.02,0
2.1937500000000001,3.6335844527213719,0,0,0,0.02,0.02,0.02,0
2.3062499999999999,3.6489585281772872,0,0,0,0.02,0.02,0.02,0
2.4187500000000002,3.6635999367583731,0,0,0,0.02,0.02,0.02,0
2.53125,3.6775753568713681,0,0,0,0.02,0.02,0.02,0
2.6437500000000003,3.6909427579578717,0,0,0,0.02,0.02,0.02,0
2.7562500000000001,3.7037528542940286,0,0,0,0.02,0.02,0.02,0
2.8687499999999999,3.7160502675094498,0,0,0,0.02,0.02,0.02,0
2.9812500000000002,3.7278744651755606,0,0,0,0.02,0.02,0.02,0
3.09375,3.7392605253175271,0,0,0,0.02,0.02,0.02,0
3.2062500000000003,3.7502397642130769,0,0,0,0.02,0.02,0.02,0
3.3187500000000001,3.7608402558088261,0,0,0,0.02,0.02,0.02,0
3.4312499999999999,3.7710872644619675,0,0,0,0.02,0.02,0.02,0
3.5437500000000002,3.7810036078046796,0,0,0,0.02,0.02,0.02,0
